Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Confectioner Hansel	SDL1	SDL1-001	SDL1-001	Resonator	Fairy Tale	{w}{1}	2	500	500	Light	C	When this card enters your field => Search your deck for a card named "Magic Sweets", reveal it and put it into your hand. Then shuffle your deck. [Rest] You gain 200 life.
Fairy Tale Kingdom, Light Palace	SDL1	SDL1-002	SDL1-002	Addition		{w}{1}	2			Light	U	When this card enters your field => Draw a card. At the end of your turn => Recover target Fairy Tale or Human J/resonator you control.
Gourmand Gretel	SDL1	SDL1-003	SDL1-003	Resonator	Fairy Tale	{w}{2}	3	700	700	Light	C	Prevent the first damage that would be dealt to this card each turn.
Grimm, King of Fairy Tales	SDL1	SDL1-004	SDL1-004	Resonator	Human	{w}{w}{1}	3	800	800	Light	SR	{w}: Force 1. Fairy Tale and Human J/resonators you control gain [+X00/+X00] until end of turn, where X is the result of the roll. Play this ability only once per turn.
Kid Puss in Boots	SDL1	SDL1-005	SDL1-005	Resonator	Fairy Tale	{w}	1	100	100	Light	R	When this card enters your field => Force 1 (Roll a die.) Put X [+100/+100] counters on this card, where X is the result of the roll.
Light Dress Cinderella	SDL1	SDL1-006	SDL1-006	Resonator	Fairy Tale	{w}{w}	2	400	400	Light	SR	When this card deals damage to your opponent => Search your deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your deck. Rest a recovered resonator you control: This card gains [Flying] until end of turn.
Magic Sweets	SDL1	SDL1-007	SDL1-007	Chant		{w}	1			Light	C	[Quickcast] Target J/resonator you control gains [+200/+200] and [Barrier] until end of turn. (Cards you control with [Barrier] cannot be targeted by spells or abilities your opponent controls.)
Manifestation of Power	SDL1	SDL1-008	SDL1-008	Chant		{w}{1}	2			Light	C	[Quickcast] Choose one - Recover target resonator you control and draw a card; or destroy target addition.
Millium, Prince of the Light Palace | Millium, Voice of a New Generation	SDL1	SDL1-009-r,SDL1-009-j	SDL1-009	Ruler	Human			0 | 900	0 | 900	Light	R	[Judgment] {w}{w}{1} [Energize] {w} (As the game starts, if you are not the player going first, you get a will coin with "Banish this coin: Produce {w}.") You may pay the attribute cost of Fairy Tale resonators with light will. | When this card enters your field => Put the top card of your magic stone deck into your field.You may pay the attribute cost of Fairy Tale resonators with light will.Whenever this card attacks or blocks => Force 1 (Roll a die.) Put X [+100/+100] counters on this card, where X is the result of the roll.
Summoning from the Fairy Tale World	SDL1	SDL1-010	SDL1-010	Chant		{w}{w}	2			Light	U	Search your deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your deck. If your J/ruler is "Millium, Prince of the Light Palace" or "Millium, Voice of a New Generation", search your deck for up to two Fairy Tale resonators, reveal them and put them into your hand instead. Then shuffle your deck.
