Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Blessed Holy Wolf	VS01	VS01-001	VS01-001	Resonator	Holy Beast	{w}{1}	2	400	600	Light	C	When this card enters your field, you may destroy target addition.
Excalibur, the God's Sword	VS01	VS01-002	VS01-002	Regalia		0	0			Void	R	Your J-ruler gains [Target Attack].[Rest] You J-ruler gains [+200/+200] until end of turn. It it's "Faria, the Ruler of God Sword", it gains Imperishable until end of turn and you may pay {2} less to play its God's Art abilities this turn.Discard this card: Produce {w}.Banish this card: You J-ruler gains Imperishable this turn.
Faria, the Sacred Queen | Faria, the Ruler of God Sword	VS01	VS01-003-r,VS01-003-j	VS01-003	Ruler	Seven Kings			0 | 800	0 | 800	Light	R	[J-Activate] Pay {w}{w}. {w}{w}: Gain 200 life. | [Target Attack] (This card can attack recovered J/resonators.) When this card enters your field, put the top card of your magic stone deck into your magic stone area.Whenever this card attacks, recover target Regalia you control.God's Art &lt;God's Breath&gt; {w}{w}{4}: Recover all resonators you control. Play God's Art &lt;God's Breath&gt; only once per game.
Galahad, the Son of the God	VS01	VS01-004	VS01-004	Resonator	Knight of the Round Table	{w}{1}	2	400	400	Light	R	Whenever this card attacks, you gain 500 life.When this card is put into a graveyard from your field, rest target resonator your opponent controls.
Gawain, the Knight of the Sun	VS01	VS01-005	VS01-005	Resonator	Knight of the Round Table	{w}{w}	2	300	700	Light	SR	Other Knight of the Round Table resonators you control gain [+200/+200].Whenever this card attacks or blocks, rest target resonator.
Gloria's Castle Town	VS01	VS01-006	VS01-006	Addition:Field		{w}{1}	2			Light	U	Whenever you gain life, target resonator gains [+300/+300] until end of turn.
Gwiber, the White Dragon	VS01	VS01-007	VS01-007	Resonator	Dragon	{w}{4}	5	1200	1200	Light	U	[Flying] (This card cannot be blocked by J/resonators without [Flying].) You may pay {2} less to play this card for each resonator you control that entered your field this turn.
Herald of Sacred Queen	VS01	VS01-008	VS01-008	Resonator	Soldier	{w}{1}	2	300	300	Light	C	When this card enters your field, search your main deck for a card named "Herald of the Sacred Queen", reveal it and put it into your hand. Then shuffle your main deck.
Justice of God's Sword	VS01	VS01-009	VS01-009	Spell:Chant-Standby		{w}	1			Light	U	[Trigger] When a resonator your opponent controls attacks or blocks: This card deals 500 damage to target attacking or blocking resonator. If you control a J-ruler, this card deals damage equal to its ATK instead.
Order of Sacred Queen	VS01	VS01-010	VS01-010	Spell:Chant		{w}{w}{1}	3			Light	C	Rest target resonator. Resonators you control gain [+400/+400] until end of turn.
Perceval, the Seeker of Holy Grail	VS01	VS01-011	VS01-011	Resonator	Knight of the Round Table	{w}	1	200	200	Light	SR	When this card enters your field, reveal the top five cards of your main deck. You may put a Regalia or Knight of the Round Table among them into your hand. Put the rest on the bottom of your main deck in any order.Banish this card: Prevent all damage that would be dealt to target J-ruler of Knight of the Round Table until end of turn.
Pride of Knights	VS01	VS01-012	VS01-012	Spell:Chant-Instant		{w}	1			Light	C	Target J/resonator you control gains [+200/+200] until end of turn. You gain 200 life.
Temple Monk	VS01	VS01-013	VS01-013	Resonator	Bishop	{w}	1	200	400	Light	C	When this card enters field, you gain 400 life.
Tristan, the Knight of Sorrow	VS01	VS01-014	VS01-014	Resonator	Knight of the Round Table	{w}{2}	3	600	600	Light	U	As long as you control another Knight of the Round Table, this card gains [Swiftness].Whenever this card attacks, resonators you control gain [+100/+0] until end of turn.
Veteran Master	VS01	VS01-015	VS01-015	Resonator	Knight	{w}{2}	3	600	600	Light	C	[Rest] Target resonator with total cost of 2 or less gains [+200/+200] until end of turn.
Young Knight of Gloria	VS01	VS01-016	VS01-016	Resonator	Knight	{w}	1	300	300	Light	C	[Target Attack]
Certo, the Blazing Volcano	VS01	VS01-017	VS01-017	Addition:Field		{r}{1}	2			Fire	U	Players cannot gain life. Whenever a resonator is put into a graveyard from a field, this card deals 100 damage to each player.
Demonflame	VS01	VS01-018	VS01-018	Spell:Chant-Instant		{r}	1			Fire	C	Choose one - This card deals 500 damage to target resonator; or destroy target resonator that was dealt damage this turn.
Dragoon of Certo	VS01	VS01-019	VS01-019	Resonator	Knight	{r}{1}	2	500	500	Fire	C	[Target Attack] (This card can attack recovered J/resonators.)
Draig, the Red Dragon	VS01	VS01-020	VS01-020	Resonator	Dragon	{r}{4}	5	1200	1200	Fire	U	[Flying] (This card cannot be blocked by J/resonators without [Flying].) You may pay {1} less to play this card for each resonator put into a graveyard from your field this turn.
Flame King's Shout	VS01	VS01-021	VS01-021	Spell:Chant		{r}{r}{1}	3			Fire	C	This card deals 400 damage to each resonator your opponent controls. Then you may put a fire resonator with total cost 3 or less from your hand into your field. It gains [Swiftness] until end of turn.
Flamewing Wyvern	VS01	VS01-022	VS01-022	Resonator	Dragon	{r}{2}	3	600	600	Fire	C	[Flying] (This card cannot be blocked by J/resonators without [Flying].) {r}: This card gains [+200/+0] until end of turn.
Flash of Demon Sword	VS01	VS01-023	VS01-023	Spell:Chant-Standby		{r}{1}	2			Fire	U	[Trigger] When a J/resonator you control attacks: Target resonator cannot block until end of turn. If you control a J-ruler, this card deals damage equal to its ATK to that resonator.
Guinevere, the Jealous Queen	VS01	VS01-024	VS01-024	Resonator	Queen	{r}	1	200	400	Fire	SR	[Rest] banish a resonator: Draw two cards, then discard a card. {r}, [Rest] Target resonator you control gains [+400/+400] until end of turn. When it deals or is dealt damage this turn, banish it.
Hector de Maris, the Acolyte of Mad Demon	VS01	VS01-025	VS01-025	Resonator	Knight of the Round Table	{r}{1}	2	400	400	Fire	U	You may pay {r} less to play this card if you control "Lancelot, the Knight of Mad Demon."When this card enters your field, target resonator gains [+400/+0] until end of turn.
Laevateinn, the Demon Sword	VS01	VS01-026	VS01-026	Regalia		0	0			Void	R	Your J-ruler gains [Swiftness].[Rest] Until end of turn, if your J-ruler would deal damage, it deals that much +200 instead. If your J-ruler is "Melgis, the One Charmed by the Demon Sword", it gains Imperishable until end of turn and you may pay {2} less to play its God's Art abilities this turn.Banish a resonator: Recover this card.Discard another card named "Laevateinn, the Demon Sword": Produce {r}.Banish this card: Your J-ruler gains Imperishable until end of turn.
Lancelot, the Knight of Mad Demon	VS01	VS01-027	VS01-027	Resonator	Knight of the Round Table	{r}{r}	2	600	600	Fire	SR	[Swiftness] (This card can attack and play it Rest abilities the same turn it enters a field.)As you choose a card to attack, you must choose this card if able.Whenever this card attacks, if this card's ATK is 1000 or more, this card deals 700 damage to target resonator.{r} This card gains [+100/+0] until end of turn.
